,found
131,2822
198,951
156,2042
441,1163
280,293
402,2128
132,3087
334,1300
183,40
161,30
228,992
195,1804
144,10051
113,5287
225,56
235,2686
234,241
187,635
143,11
160,66
154,1252
386,416
114,1834
207,307
121,15
171,54
312,151
384,27
279,1259
208,4
299,576
427,802
331,2078
277,275
354,3104
192,1000
248,131
400,862
193,2530
166,11
127,30
206,70
399,807
148,118
169,599
123,902
332,1982
387,2
134,496
391,498
260,1183
227,43
262,2819
292,608
128,448
163,131
242,13
252,255
176,130
110,1634
297,15
329,2319
272,58
221,1142
157,1038
238,2184
419,4477
125,147
398,23
191,4063
412,257
229,2265
232,822
421,27
261,168
403,203
250,2011
257,2169
348,353
224,108
275,1911
389,4
287,753
433,2907
251,94
395,1943
266,1531
394,23
429,1158
167,2250
360,11
449,1576
181,45
133,235
278,278
320,28
285,5
321,1207
377,48
361,2418
137,2265
448,78
324,2500
288,2079
189,3392
269,1300
177,45
247,77
296,1925
371,46
236,2554
392,1157
345,1018
230,1741
378,18
282,9
295,178
185,53
435,23
188,2575
286,440
319,30
447,762
446,291
420,40
107,599
383,11
309,1358
218,1
430,50
240,316
118,1
326,20
178,127
214,826
374,205
372,652
136,43
303,1710
424,1371
108,637
111,3295
346,620
237,4569
254,75
202,408
210,1787
339,73
231,81
376,14
388,907
196,3207
306,1336
315,1742
328,38
314,1132
249,1037
168,14
406,44
146,16
246,860
255,134
327,97
364,644
155,1031
158,8
105,517
270,138
318,2
182,1389
179,128
363,455
106,4348
298,1692
175,1522
335,42
407,53
243,2853
359,546
264,4006
308,69
245,1511
294,1323
186,1831
362,2313
153,259
337,4
426,35
200,581
256,2810
347,656
409,60
368,23
141,1046
122,1255
172,2325
126,3643
184,1746
313,170
428,1686
425,349
323,494
150,1906
190,1240
162,125
415,1085
216,28
117,436
273,7
