dzr_sng_id,MSD_sng_id,MSD_track_id,sp_track_id,artist_name,track_name,valence,arousal,sp_acousticness,sp_danceability,sp_duration_ms,sp_energy,sp_instrumentalness,sp_key,sp_liveness,sp_loudness,sp_mode,sp_speechiness,sp_tempo,sp_time_sig,sp_valence,sp_popularity,sp_explicit
532171,SOSDIDR12A8C130E5D,TRGVJCD128F42623E3,1UmmSKPdCtBuJsmbZG9G3u,Fiona Apple,Fast As You Can,-0.420759114,0.754643678,0.131,0.46,278267,0.772,0.0417,0,0.0527,-9.233,1,0.0445,138.002,4,0.532,53,FALSE
532216,SOPMTTO12AB0183DB9,TRNXMAY128F931FAC6,3SO5iPrvbgXz2XUwjOExDs,Fiona Apple,I Know,-0.465329713,0.011005892,0.394,0.52,299613,0.253,0.000131,0,0.109,-12.407,1,0.0344,139.555,3,0.219,60,FALSE
532284,SOQCEJU12A8C13220B,TRYMZQJ128F426A0E7,1RPhSs2lDYKjDsELKtPvQd,Xzibit,Get Your Walk On,0.373325221,-0.923150666,0.0562,0.909,219840,0.74,0,1,0.0593,-2.361,1,0.26,97.855,4,0.802,54,TRUE
532989,SOLEFHR12D021B2A57,TRZHHIL128F4264EE0,5h9Iek7Hp9wayRt7fBp7Ab,Fiona Apple,Extraordinary Machine,0.894528341,-0.390773614,0.905,0.701,223613,0.202,0.000157,1,0.107,-12.48,1,0.0609,85.389,4,0.477,53,FALSE
533164,SOFDPOX12A8C13780D,TRJEBIT128F933A400,04f1rOkeyOqYQQzPJZk9JS,Patty Loveless,How Can I Help You Say Goodbye,-1.636899729,-0.45914527,0.818,0.499,298237,0.201,1.38E-06,11,0.143,-12.145,1,0.0276,72.139,4,0.234,48,FALSE
533922,SOMYOSK12AB01801DC,TRWBUCU128F932A3B5,4kIe7B40s7KFoktRqHGUaX,Crash Test Dummies,Just Chillin',0.678952182,-2.333604153,0.374,0.788,212467,0.276,3.21E-05,1,0.161,-12.011,1,0.0718,121.16,4,0.166,22,FALSE
533924,SOSAZAT12AB01801EF,TRFAGGM128F932A3BB,4kx0IxEDGkzy303ZZn0niO,Crash Test Dummies,Get You In The Morning,0.984579142,-0.010504292,0.0558,0.553,177560,0.449,0.000424,6,0.109,-8.674,1,0.0485,172.258,4,0.712,22,FALSE
533925,SOLQDBM12AB01801FE,TRVKSPJ128F932A3BF,,Crash Test Dummies,Just Shoot Me_ Baby,0.373325221,-0.923150666,,,,,,,,,,,,,,,
534001,SOWEUBM12AB0180208,TRUNKIT128F932A3C1,0Rxb7ShUeQHUCE91mBhMrm,Crash Test Dummies,A Little Something,0.373325221,-0.923150666,0.0416,0.582,275867,0.631,0.0019,8,0.0711,-11.44,1,0.0376,154.198,4,0.536,22,FALSE
534268,SODNNXL12A58A7B9BC,TRUDSEY128F425AC3C,4UzYNnn7l7ZVo9ZXEWLhXj,Marilyn Horne,All Through the Night,1.071901131,0.846830181,0.983,0.228,111974,0.316,0,5,0.159,-9.56,1,0.036,80.561,4,0.262,1,FALSE
534847,SOVMVFH12AB0184F26,TRFBNQX128F92E3A87,4mL55yuSeFzQmyRO7K2X7G,Daughtry,Crashed,0.682590598,0.754643678,0.00435,0.45,209816,0.93,0,11,0.245,-3.281,1,0.0558,147.94,4,0.539,45,FALSE
534850,SOLIGOA12AF72A29D6,TRTJHHW128F92C231E,6VmpcQ6jK7oSOPaR8ppyCt,Daughtry,Breakdown,-1.040199472,-0.065816193,0.0491,0.433,241441,0.903,0,5,0.141,-3.542,0,0.047,154.014,4,0.361,36,FALSE
534853,SOJLGOI12D021989B7,TROOUEH128F92E3AA0,4jpaTid9vSFc3fV1WOfitw,Daughtry,All These Lives,-0.450776048,1.127999013,0.00488,0.367,202803,0.95,0,3,0.164,-2.87,0,0.0522,166.166,4,0.373,43,FALSE
535204,SOXOFZV12A8AE473FB,TRQGUZM128F425B7F6,6iEJ90sA52ES12sTH5WI8X,The Hoosiers,Worried About Ray,1.178324805,1.183310915,0.00204,0.493,166787,0.805,0,9,0.0921,-3.609,0,0.0302,174.099,4,0.596,33,FALSE
536164,SOHEUAX12AB018744C,TRRKNMB12903CC6B7E,1m0hKmLA5cMRU5b4EtGdLF,Tina Arena,I Want To Know What Love Is,1.071901131,0.846830181,0.33,0.575,381267,0.655,2.94E-05,6,0.106,-6.845,1,0.0376,83.638,4,0.577,38,FALSE
536979,SOCMGQH12CF5465276,TRCDGGE128F42AEF0A,3VZmChrnVW8JK6ano4gSED,Marvin Gaye,Sexual Healing,0.722613176,-0.038160242,0.119,0.805,238600,0.601,0.000129,0,0.0581,-9.7,0,0.0579,94.382,4,0.746,72,FALSE
538694,SOEDNXV12A8AE47B16,TRFXWUO128F425EAB3,2tBByfHUDMmAgyj25yMdv0,Westlife,I'm Already There,1.071901131,0.846830181,0.746,0.315,256347,0.476,0,3,0.118,-6.461,1,0.0309,130.852,4,0.236,44,FALSE
538700,SORGOLY12AB017BA3B,TRWUIPE128F425A1A0,0hC6Xzj5byd9TD3p5gClkC,Westlife,I Do,1.071901131,0.846830181,0.5,0.59,303440,0.479,0,10,0.0804,-7.109,1,0.0306,122.053,4,0.328,52,FALSE
539979,SOQCZDT12A8AE48E09,TRQIXOO128F425A1A2,5JErOxU2pwx8sIGeNHrE4t,Westlife,You Must Have Had A Broken Heart,1.071901131,0.846830181,0.511,0.447,241600,0.581,0,4,0.126,-4.513,1,0.0315,143.798,4,0.261,37,FALSE
540944,SORKPAQ12AB018391F,TRTMVJJ12903CBB678,4HJpiZzOYIdf002T4PfMSS,Rachael Yamagata,Be Be Your Love,-0.517359064,-0.012348022,0.307,0.634,252333,0.412,4.92E-05,3,0.0667,-7.989,1,0.0312,119.987,3,0.419,42,FALSE
540954,SOQVACM12AF72A48D9,TRQHHJK128F92F12C2,4lhUMg8TNMsmj1YxopeW5A,Rachael Yamagata,1963,1.070081923,1.018911652,0.138,0.443,242760,0.718,0.000297,5,0.296,-7.826,0,0.0338,178.24,4,0.611,28,FALSE
540956,SOWPWJG12A8C13EB6A,TRJMVBQ128F92F12C3,234AYE6GUkpgfruH5S4z3E,Rachael Yamagata,Under My Skin,0.378782845,-1.516217164,0.097,0.598,252920,0.661,0,7,0.22,-7.909,0,0.0323,121.332,4,0.214,37,FALSE
540960,SONDASY12A8C13EB6D,TRVFPAQ12903CBB680,1eXjK1eFFJ1qftAmhrEULE,Rachael Yamagata,Even So,-0.612685569,0.149285646,0.923,0.36,259613,0.197,0.00146,0,0.19,-12.36,0,0.0297,110.433,4,0.0688,22,FALSE
540967,SOYXRAL12AF729EFC9,TRPESQP128F92F12C7,7urHRcvIRPcFqk4W9bsCrt,Rachael Yamagata,Quiet,-0.147877899,-0.463140019,0.97,0.536,365080,0.134,0.0619,7,0.1,-15.472,1,0.0312,113.007,3,0.132,30,FALSE
541416,SOHEZUJ12A8C13094D,TROYHQE128F42681F5,7ktE7AEy4Kg0tswtu86Ylw,Jeff Wayne,The Spirit Of Man,-0.431674363,0.095510186,0.0841,0.391,697933,0.789,8.09E-05,11,0.377,-7.239,0,0.0567,132.954,4,0.346,26,FALSE
541830,SOBRQFE12A8AE486DF,TRWGBXW128F425E1F4,6FDrn47S3Q4s9rhLHm4um0,Barry Manilow,Could It Be Magic,-0.535369224,-0.747996311,0.85,0.315,409053,0.506,0.0405,0,0.131,-7.283,0,0.0347,122.913,4,0.291,47,FALSE
541864,SOBWYSF12A58A7DC01,TRUUBST128F426F895,412LyfktkgWKEn8kmKiyQe,Chevelle,Comfortable Liar,-1.004724914,0.869876806,0.00144,0.524,223267,0.811,0.0181,1,0.682,-2.761,1,0.0306,89.073,4,0.196,49,FALSE
541867,SOYZGMB12A8AE487F1,TRZCSSL128F426F89C,1gyee1JuFFiP476LQpRMYU,Chevelle,The Red,-1.708758448,1.717992629,0.000671,0.509,238400,0.843,0.000803,1,0.348,-3.318,0,0.0488,140.055,3,0.332,69,FALSE
541869,SOBTITR12A8C135C38,TRBGHDW128F426F8A1,2Bcvh4zypRuH0cCTQzuV6B,Chevelle,Don't Fake This,-1.435877234,1.639634101,0.00168,0.498,219067,0.901,0.0111,1,0.0375,-3.7,1,0.0485,98.592,4,0.392,41,FALSE
541870,SOIUXEF12A8AE479A3,TRYPYAE128F426F8A4,6ptcVVRn97eAKqUy6kUVK5,Chevelle,Forfeit,-1.700572012,1.842444407,0.00206,0.629,239173,0.739,0.0269,4,0.0544,-5.577,1,0.103,151.117,4,0.519,48,FALSE
541873,SOMFQVL12A8AE479E0,TRIOXTZ128F425BA4B,3iisCRSLShhmIVmFEtsG2M,Chevelle,One Lonely Visitor,-1.703300824,-0.628153858,0.576,0.37,245960,0.283,0.00266,3,0.106,-7.915,1,0.0256,87.719,4,0.0587,35,FALSE
545027,SOUBEAX12CF5465224,TRHUPMZ128F92CC01B,1tQy2AqgFc0AdddmIboIfX,Simon & Garfunkel,The Dangling Conversation,-0.399474379,-0.486186644,0.683,0.437,158773,0.284,1.42E-06,10,0.115,-13.116,1,0.0316,91.719,4,0.322,51,FALSE
545031,SOLRMFA12A58A7A41B,TREFZEI128F427FFC6,0CtuChNoy9SwaiOddQ4EPc,Simon & Garfunkel,A Poem On The Underground Wall,0.411528591,-1.499316306,0.583,0.348,114627,0.475,0,2,0.0881,-12.993,1,0.0594,112.124,4,0.562,39,FALSE
545375,SOSUHDS12A8AE479C8,TRUQKWT128F4259996,1zBkDaFq1xqFHkJIGdyS3z,Primal Scream,Motorhead,-1.700572012,1.842444407,2.75E-05,0.434,218773,0.991,0.563,0,0.347,-5.209,1,0.125,131.884,4,0.286,8,FALSE
545765,SOMIKXG12A8C133CE1,TRHEQKA128F4273AA0,2KJ5dFJRBYRdHxzJXjruaC,Christine Perfect,I'd Rather Go Blind,-1.935249857,-0.655809809,0.485,0.444,197200,0.357,0.337,4,0.193,-15.083,1,0.0285,157.481,3,0.513,30,FALSE
548327,SOKGJMM12A8C140DD5,TRXPVAK128F42ACF79,0d4X1l5kvJ8ZytRK7T5xwn,Outlandish,Any Given Time,1.071901131,0.846830181,0.458,0.69,277333,0.817,1.64E-05,5,0.0826,-7.061,0,0.156,170.07,4,0.923,22,FALSE
548335,SOPLPZC12A58A7A912,TRBHQMK128F42ACF82,0v2xc2Vrf37rvSkgl99ycg,Outlandish,Callin' U,-1.935249857,-0.655809809,0.248,0.691,266773,0.693,0,5,0.0988,-3.451,0,0.105,89.983,4,0.733,36,FALSE
549447,SOOMQZA12A8C13F124,TROFAQT128F42B11F3,30OX3L2b7tIHdwBzhgnemA,John Gorka,Where the Bottles Break,-1.460436543,1.178701589,0.391,0.663,298693,0.508,0.0991,7,0.152,-14.828,1,0.0311,135.146,4,0.574,10,FALSE
549449,SOMZSPS12A58A77E8D,TRVXCHJ128F42B1204,0IX9DrHNJcidnHO5bWjRYl,John Gorka,Houses in the Fields,-1.040199472,-0.065816193,0.573,0.541,282827,0.245,0.00295,7,0.267,-16.343,1,0.0299,135.382,4,0.305,11,FALSE
550288,SONYNMM12D021B3AF3,TRFIVGV128F4266BC7,5y788ya4NvwhBznoDIcXwK,Simon & Garfunkel,The Sound Of Silence,-0.716640317,-0.636055558,0.837,0.525,185413,0.216,0,6,0.107,-13.551,1,0.0301,106.761,4,0.328,75,FALSE
550534,SOKZGJR12A8C13FB37,TRLMOCZ128F42BCE6D,2tf0T4rbV5hpYJmKlO64Iy,The View,Skag Trendy,1.541256821,1.704164653,0.00044,0.249,180947,0.99,1.44E-06,4,0.0878,-2.869,0,0.246,153.333,4,0.19,8,FALSE
550535,SOHNFIS12A8C13FB39,TRMIUHZ128F42BCE6F,1e2cedleWVIYL0WET5pbfk,The View,The Don,1.178324805,1.183310915,0.734,0.106,359827,0.0319,0.83,5,0.113,-27.431,1,0.0345,81.996,3,0.0429,35,FALSE
550541,SOPKUKO12AF729FEDF,TROPSKY128F42BCE79,1zGEEP77I5C6xaJMUoWEVv,The View,Street Lights,0.373325221,-0.923150666,0.00156,0.688,228933,0.862,1.20E-06,7,0.116,-5.025,0,0.0334,117.941,4,0.861,32,FALSE
550542,SOGOFFL12A8C142D86,TRQHOMZ128F42BCE7A,2YlYZtgyUoWgRGqHuyveyv,The View,Wasteland,0.815392789,0.662457176,0.957,0.519,53853,0.475,0.924,1,0.128,-18.741,1,0.113,200.141,4,0.199,17,FALSE
550609,SOIMEQS12A8AE485C0,TRIZGVJ128F425A11C,1JgAP2WfxB1pLAfEJhD19W,Manic Street Preachers,Underdogs,0.815392789,0.662457176,0.000412,0.64,169320,0.78,0.00311,5,0.403,-5.817,1,0.0412,147.106,4,0.758,28,FALSE
550953,SOWFQCC12D021B1FE1,TRRCXFL128F42BCE98,26yka69RXiAmYMowauW2Hc,Hellogoodbye,All Time Lows,1.178324805,1.183310915,0.0153,0.421,164240,0.945,0,1,0.451,-3.562,0,0.0856,167.096,4,0.537,24,FALSE
550955,SOMMHAJ12A58A7B260,TRQDXTA128F42BCE99,3U2KTKoPzzH84vDfQvyzrE,Hellogoodbye,Stuck To You,0.815392789,0.662457176,0.0018,0.65,164573,0.876,1.17E-05,2,0.345,-4.353,1,0.0764,143.997,4,0.705,23,FALSE
